Num,Post,Date,Like,Like_ID,Share,Share_ID,Share_Content,Comment,Comment_ID,Comment_Content
1,这位丹麦来的导演很爱听我们的故事，觉得我们不容易很辛苦，但是我们却很开心。开始的消费者最后却都成了我们的朋友，导演问你们的客户除了市集上还有从哪里来的。我们说都是朋友互相介绍的，对待朋友就像家人真心真意不能有半点虚假，这样才能让更多的人相信你。还是那句话把良心放到土地里，为大家结 ​​​ 全文,2017-8-31,9,"['1509647473', '5769296863', '6189662128', '6068383117', '6353801707', '1726000707', '2435587595', '3147837312', '1762097564']",4,['3167809281'],:[good][good] ,5,"['6417419037', '1412842432', '579922049', '2435587595']",:萝卜缨子可以喂些土鸡田鸭么？怎么没见养些食肉的家畜(⊙o⊙)哇？[疑问][晕]$请问土豆和胡萝卜在哪卖，有网店吗？$:打碎还田，当肥料$那个秧子干什么用？
2,#产地拜访#上周和@北京有机农夫市集 伙伴一起， 一天往返700多公里，去河北张家口拜访@一墩青 和@快乐返乡青年 。成哥家嫂子炖的土豆南瓜香的舌头打卷，糖拌西红柿汁水丰盈细腻鲜甜！蹲在地头啃西瓜爽的不要不要的！小黄一家带我们上山杏树林给我们讲穴施施肥法，儿子在树林里爬上爬下玩的不亦乐乎，回 ​​​ 全文,2017-8-29,3,"['1157222840', '1700530055', '5886091360', '1687274110']",2,"['2092577903', '579922049']",:转发微博 $:张家口我们两家做的最小，就凭自己还有把子力气还要连带家人，还好儿子是我的希望动力满满的。[嘻嘻] ,3,['3719047295'],不错不错
3,最近一直在忙着收秋没能及时回复大家敬请谅解吧！[作揖]小麦今年产量还可以每亩二百斤，土豆和胡萝卜也到收获的时候了。争取在十月一号前全部收完。 ​​​,2017-8-28,6,"['6068383117', '3123820267', '2600361967', '1274539005', '1747037187', '3182549883']",2,['5819340028'],:转发微博 ,11,"['1350171974', '3291684251', '6353801707', '579922049', '579922049', '579922049', '579922049', '2435587595']",沉甸甸的果实[微风][微风][微风]看着开心[微笑]$请问紫色的土豆是转基因的吗？小时候从未见过紫色土豆呢$欢迎关注澳洲活力农耕，一起研究改良土壤，提高作物品质的好方法。$:【快乐返乡青年生态农场】，复制这条信息￥le1M0WAPRG5￥后打开[向右]手机淘宝[向左]$:玉兰，老品种自留种，价格看微店$:是的，很不错了。靠天吃饭，不下雨就颗粒无收$:我们的成本也许比他们的低$也就是你家的土豆胡萝卜洋葱还便宜点
4,不好意思挺长时间没在微博上宣传了，其实今年夏天我们也算挺忙的，去北京赶集买完货就开始种地，种完没几天开始收杏仁，往杏地理施有机肥，这不马上小麦开始收了，下来就是收燕麦，土豆，胡萝卜。小米最晚11月份才能有。这一年不紧不慢也没几天休息。其实冬天才是最忙的时候。 ​​​,2017-8-15,11,"['6068383117', '5694626726', '1645964357', '5889168233', '3123820267', '1751798575', '1762097564', '2804454202', '2115692730', '1283849072']",2,['1879619105'],:充实而快乐，羡慕…… ,4,"['579922049', '2114173421', '2435587595', '2115692730']",:不好意思回复您太晚了，我们的店铺名就是快乐返乡青年生态农场$你们家有淘宝店吗$[太开心]好文艺的拍照$充实而快乐，羡慕……
5,天下钓鱼 http://t.cn/RtZcf3f ​​​,2017-8-15,1,['5120313855'],0,[],,0,[],
6,从小不喜欢去田里干活，结果做梦都没想到居然爱上了种地并且坚持了下来。家乡的美景和庄稼漂亮而又健壮。我的土豆就是这样长大的。 ​​​,2017-6-18,2,"['3895510502', '1859544720', '1068904472', '5537225037', '1274539005', '5144116980']",1,['579922049'],  欢迎到我的老家康巴诺尔来做客，最近干旱的厉害赶快浇灌。 ,1,[],
7,从小不喜欢去田里干活，结果做梦都没想到居然爱上了种地并且坚持了下来。家乡的美景和庄稼漂亮而又健壮。我的土豆就是这样长大的。 ​​​,2017-6-18,6,"['3895510502', '1859544720', '1068904472', '5537225037', '1274539005', '5144116980']",5,['579922049'],  欢迎到我的老家康巴诺尔来做客，最近干旱的厉害赶快浇灌。 ,0,[],
8,由于北方的常年平均气温较低，粪肥发酵缓慢每年种地的农民赶不上发酵完全就上到地里。生粪用到地里会生虫害，因此就必须打药来控制，我今年用的发酵剂加快粪肥发酵速度，经过高温发酵不仅可以杀死虫卵还可以灭掉杂草种子，真希望老家种菜的农户也能用这种方法。不用打药不用除草剂。 ​​​,2017-5-9,4,"['2740066065', '1657860211', '5043167225', '1177938582']",2,['5043167225'],:转发微博 ,1,['5534436519'],有什么环保驱虫方法。
9,种地要深耕也要分种什么，种土豆必须要深耕才能把去年的茬子深翻到地里提高保水量。 秒拍视频 . ​​​,2017-5-8,0,[],0,[],,0,[],
10,土豆已经种完，再等五月中旬种燕麦。土豆发芽要半个月甚至更长时间，北方天气寒冷种完土豆还下了场雪，下一步土豆出芽培土该浇水了。今年还种了专门炸薯条的土豆，冬天可以给小朋友做薯条了。 ​​​,2017-5-8,4,"['3282294903', '5047889941', '1751798575', '1657860211']",3,['5686057297'],:期待新一年的土豆~[馋嘴] ,2,['5686057297'],期待新一年的土豆~[馋嘴]
