Num,Post,Date,Like,Like_ID,Share,Share_ID,Share_Content,Comment,Comment_ID,Comment_Content
15,【开集啦】今天9-13点，我们在@北辰时代名门百货 西广场，还是那个啤酒花园那里。天气凉爽，使劲儿观天象，预计收摊前是不会下雨的[偷笑][偷笑]中秋将至，备好吃食过节吧。图中亮点有木有发现？ 北京·北辰时代名门 ​​​,2014-8-30,1,"['2760265573', '1155512071', '1286402695', '1750688713']",1,"['1748567391', '231124120', '1355974275', '1355974275', '1836182263']", $ $ $ $:好想念 ,1,"['1748567391', '1414454692', '2281572877', '1449776120', '3268277472', '1750688713', '1342031123']", 闻着真香啊！$那个罐子里的棍棍叫什么啊？$  终于换了块新桌布[偷笑]$妇女和平[偷笑]$在西城去有吗$:[泪]有空来试试吧，毕竟现在空降了很多人内[挤眼]$会来海淀区开嘛[泪]
16,#秋天# 梨汤[心] 银耳海底椰百合莲子 还有@良心梨 和@北京有机农夫市集 的枸杞[good] ​​​,2014-8-28,1,"['1343312295', '1782739183', '2448811632', '2515831180', '3263096810']",0,[],,0,[],
17,经过医生的检查，确认今天父亲可以出院了。谢谢连日来所有朋友们的关心、祝福与指导，我和父亲也接到了很多老朋友的电话，非常感动大家的心意！感谢之至！！！ ​​​,2014-8-25,0,[],0,[],,0,[],
18,发表了博文《讲不出再见---致“良心梨”的朋友们》有些事情你可能想到过会出现，但是你永远无法预料它何时会发生。今天接到母亲电话，跟我讲了件让人揪心的事情。我父亲住院了。本周一傍晚，父亲在锁梨园大门准备讲不出再见---致“良心梨”的朋友们 ​​​,2014-8-23,0,[],0,[],,0,[],
19,开集啦！今天的@良心梨 简直是抢的节奏啊！@北京乐和仙谷有机庄园 的苹果，@凤凰公社 大桃也很受欢迎。入秋便是丰收的时候。从福建清流远道而来的客家米酒@山村風物 黄家父子酿酒师也作为特邀作坊参加今明两天市集，欢迎品尝和了解。今天10-13点，崇文门@北京时尚新世界女子百货 地下一层开集中。 ​​​,2014-8-23,0,[],1,"['316608889', '231124120', '2441077175']",:谢谢了，谢谢大家支持！ $:谢谢了，谢谢大家支持！ $:抢到一箱梨，嘎啦苹果，乐和仙谷桃子的举手[哈哈] 以弥补我上周没吃上滴痛苦[馋嘴] 还有，刚才和我相视而笑的大眼睛姐姐是不是主页君啊[爱你] ,3,"['2308601265', '231124120', '2441077175']",我有入镜哈哈，今天一开门，抢购的火爆场面，确实惊人。说明梨粉很多呀。继续努力。$谢谢了，谢谢大家支持！$抢到一箱梨，嘎啦苹果，乐和仙谷桃子的举手[哈哈] 以弥补我上周没吃上滴痛苦[馋嘴] 还有，刚才和我相视而笑的大眼睛姐姐是不是主页君啊[爱你]
20,@北京有机农夫市集 良心梨真真好吃！真的是梨应该有的味道！水份充足甜度适中。老公南方人，傲娇的从来不吃北方水果，说是没味道，这两天每天都主动削个梨吃[打哈气]谢谢@悠然社 帮我预定[鲜花][鲜花][鲜花]我爱市集，我爱有机生活[微风] ​​​,2014-8-23,0,[],0,[],,1,['231124120'],谢谢您的支持！对我父亲来讲，朋友们能满意是他最大的欣慰！这些年总算没有白付出。。。
21,第二周@良心梨 到达集室啦。谢谢@手土义坊 家 @liulius 和@毛利 老师家属一起帮忙。预定自取的亲，可以一早来集室取梨咯！ ！预定配送的亲，在家等着收梨吧。切记拆梨时别忘了深深吸上一口梨香，仿佛在梨园和梨树一起呼吸的感觉，有没有？集室还部分富余梨也欢迎大家来集室试吃、购买。 ​​​,2014-8-22,0,[],0,[],,2,"['1791691013', '1645964357', '231124120', '2365535701']",处暑节气到了，入秋吃梨，好。$每周都要半夜送货？$三更半夜辛苦各位了[给力]！梨来了。。。$ 家属。
22,第一批@良心梨 终于和大家见面了，主页君这两天一直在收集大家的反馈，详情请戳图片。本周五第二批@良心梨 又将送达。预订请戳：http://t.cn/RPiXhjo。配送、自取、农友宅配、室内实体店都是可以的。如果您希望组织朋友间团购、节日馈赠或者公司请与我们联系。 ​​​,2014-8-20,0,[],0,[],,2,"['231124120', '1645964357']",喜欢就是评论，而爱是把它带回家。非常感谢各位亲对自家梨的支持！$储存在箱内会有什么问题？
23,【开集通知】周六10-13点，老地方@北京时尚新世界女子百货 地下一层，空调地铁交通都是最便利舒适的。庆@集室 整顿后重开张，连续周日在@华润凤凰汇 凤凰商街开集，15-19点，晚集请注意~这周@良心梨 预定请戳：http://t.cn/RPiXhjo，还有@一墩青 的西瓜们，又会新到一批，俺们@集室 现在比田地都热闹呀 ​​​,2014-8-19,0,[],0,[],,6,"['1911697580', '1645964357', '1581640987', '1414493007', '1911697580', '2039428497']",":请问还有螃蟹吗？$:市集接待处会有莲子老师的产品，莲子老师一般不参加$ 上周末在微店订的梨，备注的在布乐奶酪店自取，怎么一周了还没消息通知提货呢$今天可以收捐赠的衣物吧$请问有卖螃蟹的吗？去年洪湖蟹不错。$蒲公英农社参加周日的凤凰商街市集.秋天的气息和丰盛的农品一起到来.有新采的特嫩紫皮花生,煮食或煲汤都清甜;今年最后一茬原味笨玉米,传统品种,目前极嫩,原味香浓.还有当天采摘的新鲜秋葵,香甜好吃的水果玉米------预定取货享9折."
24,昨天集市的收获@北京有机农夫市集  良心梨真心好吃。@良心梨 ​​​,2014-8-17,0,[],1,['231124120'],:谢谢您的帮衬！其实也正是因为有无数个像您一样的消费者朋友们的支持，我们才能走到现在。 ,6,['231124120'],谢谢您的帮衬！其实也正是因为有无数个像您一样的消费者朋友们的支持，我们才能走到现在。
25,今夜西瓜昨夜梨。。。本周主角@良心梨 、@一墩青 西瓜迎着周末天边第一缕微光都妥妥的了。。。不妥的是@良心梨 预定过于火爆，估计今天@颐堤港INDIGO 未预定的亲只能限购了。预定选择宅配的梨基本都已送达，少量今天送达。错过了这周，下周可不能再错过。赶紧戳http://t.cn/RPiXhjo ​​​,2014-8-16,0,[],0,[],,5,['5065575856'],我刚收到了！这么早！梨香让我家云云绕着箱子转，就不给他，一会儿我要自己吃哈哈哈！
26,三月花开，八月梨来。赶在本周@北京有机农夫市集 前，新一季@良心梨  终于到了。为了更方便大家尝到脆甜多汁的梨，很多农友、消费者加入到“卖梨总动员”。良心种植，满城梨香。谢谢：@分享收获CSA @悠然社 @北京国仁绿色联盟 （未完评论续） 三月花开，八月梨来。良心种植，梨香满城 ​​​,2014-8-13,0,[],0,[],,0,[],
27,三月花开，八月梨来。赶在本周@北京有机农夫市集 前，新一季@良心梨  终于到了。为了更方便大家尝到脆甜多汁的梨，很多农友、消费者加入到“卖梨总动员”。良心种植，满城梨香。谢谢：@分享收获CSA @悠然社 @北京国仁绿色联盟 （未完评论续） 三月花开，八月梨来。良心种植，梨香满城 ​​​,2014-8-12,0,[],0,[],,0,[],
28,三月花开，八月梨来。赶在本周@北京有机农夫市集 前，新一季@良心梨  终于到了。为了更方便大家尝到脆甜多汁的梨，很多农友、消费者加入到“卖梨总动员”。良心种植，满城梨香。谢谢：@分享收获CSA @悠然社 @北京国仁绿色联盟 （未完评论续） 三月花开，八月梨来。良心种植，梨香满城 ​​​,2014-8-12,0,[],0,[],,0,[],
29,三月花开，八月梨来。赶在本周@北京有机农夫市集 前，新一季@良心梨  终于到了。为了更方便大家尝到脆甜多汁的梨，很多农友、消费者加入到“卖梨总动员”。良心种植，满城梨香。谢谢：@分享收获CSA @悠然社 @北京国仁绿色联盟 （未完评论续） 三月花开，八月梨来。良心种植，梨香满城 ​​​,2014-8-12,2,[],1,"['2553243743', '731109012']", 的广告词。在一盒月饼和一箱脆甜多汁且有益健康的良心梨之间，必须选择后者[馋嘴] $:梨来了梨来了🍐🍐🍐，悠然社继续为大家配送，或到店购买哦[噢耶][噢耶][噢耶] ,25,"['231124120', '1645964357', '3926930310', '231124120', '1660226871']",:多谢农友支持！[握手]$ 的广告词。在一盒月饼和一箱脆甜多汁且有益健康的良心梨之间，必须选择后者[馋嘴]$转发微博$感恩朋友们的帮忙，不一一谢过了！今年的梨品质还不错，希望能让朋友们满意！谢谢大家了！$外地的如何买？
30,今日梨园开始采摘[馋嘴]，如果一切顺利的话，下周末就能和朋友们分享了！@集室 准备好了吗？[挤眼] ​​​,2014-8-8,0,[],0,[],,0,[],
31,闻到梨香了嘛[哈哈]再过三周就可以吃到了哦（提问：能猜出来梨园今年为什么不除草吗？） ​​​,2014-7-29,1,['2103466083'],0,[],,0,[],
32,周末水果大放送[爱你]@良心梨 、平谷桃、嗄啦果、牛油果、就连@北京有机农夫市集 的小胡萝卜也凑热闹来啦 ​​​,2014-7-27,0,[],2,"['3926930310', '231124120']",: 呵呵，这盘装的真实在[哈哈][good] $:呵呵，这盘装的真实在[哈哈][good] ,2,"['2283300357', '231124120']",牛油果不是本地种植吧？$呵呵，这盘装的真实在[哈哈][good]
33,梨！来！了！依然还是那么脆甜[馋嘴]@良心梨 ​​​,2014-7-27,0,[],0,[],,3,"['2255900564', '2255900564', '1408765727']",: 还有吗？今天下班去来得及不？[花心]$梨还有吗？ 多少钱一斤？$梨还有么？我过去扛一箱~~
34,赶集啦！赶集啦！今天@北京有机农夫市集 就在集室门口哦。一直到十二点。集室坐标：三元桥·凤凰商街。问路电话：57428210。 ​​​,2014-7-27,0,[],0,[],,3,"['1979369463', '1228899885']",是什么花呢？网上能买吗$要是能送货就好了
35,梨！来！了！依然还是那么脆甜[馋嘴]@良心梨 ​​​,2014-7-25,0,[],1,"['2632069641', '231124120', '231124120', '2785783605']", 的小伙伴们中午冒着酷暑去接车，辛苦你们了。。。 $ 的小伙伴们中午冒着酷暑去接车，辛苦你们了。。。 $ ，各种美味的回忆！ $ 的小伙伴们中午冒着酷暑去接车，辛苦你们了。。。 ,2,"['2255900564', '2255900564', '1408765727']",: 还有吗？今天下班去来得及不？[花心]$梨还有吗？ 多少钱一斤？$梨还有么？我过去扛一箱~~
36,梨！来！了！依然还是那么脆甜[馋嘴]@良心梨 ​​​,2014-7-23,0,[],15,"['2632069641', '231124120', '231124120', '2785783605']", 的小伙伴们中午冒着酷暑去接车，辛苦你们了。。。 $ 的小伙伴们中午冒着酷暑去接车，辛苦你们了。。。 $ ，各种美味的回忆！ $ 的小伙伴们中午冒着酷暑去接车，辛苦你们了。。。 ,13,"['2255900564', '2255900564', '1408765727']",: 还有吗？今天下班去来得及不？[花心]$梨还有吗？ 多少钱一斤？$梨还有么？我过去扛一箱~~
37,【萌萌哒！3岁哥哥被8个月大的妹妹吵醒后……[心]】睡觉时被吵醒，小朋友大多会有起床气。国外一名8个月大的小妹妹爬到沙发边，想要叫醒熟睡中的哥哥。当她经过不懈努力终于吵醒哥哥后，睡眼惺忪的哥哥不但没有对妹妹发脾气，反而抱着她轻轻地吻了一下。萌化了！ 视频：3岁大的哥哥被8个月大的妹妹吵醒 @人民日报  ​​​,2014-7-22,0,[],3,"['2129157981', '1670840747', '2842354630', '1094511683', '237298123', '2319356150', '116541580', '3858190853', '2032015583']",:转发微博 $:爱心大大大的 $:真是个好哥哥 $:转发微博 $:我有弟弟，但是分分钟变泼妇 $:萌化了 $:[亲亲] $:转发微博 $: 转发微博 ,0,[],
38,好消息早知道→_→@良心梨 家的第一批早酥梨下周就会到集室和市集上喽[呵呵] ​​​,2014-7-22,0,[],0,[],,0,[],
39,好消息早知道→_→@良心梨 家的第一批早酥梨下周就会到集室和市集上喽[呵呵] ​​​,2014-7-18,0,[],0,[],,2,"['1645964357', '231124120']",[鼓掌]$园子里这个品种的梨不多，让大家先尝尝鲜吧。
40,河北省气象台1日10时发布暴雨蓝色预警: 预计今天下午到明天白天，承德南部、唐山、秦皇岛、廊坊、保定东部、沧州北部有大雨，局地有暴雨，个别点雨量可达80-120毫米，雷雨时局地伴有短时大风、短时强降雨等强对流性天气，强降水引发的城市内涝、农田渍涝、中小河流洪水和山洪地质灾害的气象风险较高。 ​​​,2014-7-1,0,[],1,"['231124120', '2431650343', '3061024305', '2821063002', '1658626033', '2326935351']",:别刮风就好！！！ $【河北省气象台1日10时发布暴雨蓝色预警】 $:倒是下呀！要闷死了 $:转发微博 $:雨来了，高兴呢 $:转发微博 ,0,[],
41,洛杉矶政府水电局从2009年开始实行“加州友好地貌改造奖励计划”。通过各种途径，该部门告诉人们，不应该种草坪，以节约水资源和土地资源。如果谁家铲掉了草坪，改种耐旱植物或果蔬，可以获得政府奖励，奖励金额从最初的每平方英尺1美元，提高到后来的2美元，从今年5月14日开始又涨到了3美元。 ​​​,2014-7-1,0,[],0,[],,0,[],
42,#北方六省区明日将达37到40度 北京或破记录#这气温，火炉模式开启。。。不过今年的梨会更甜了！ 我分享了北方六省区明日将达37到40度 北京或破记录 ​​​,2014-5-28,0,[],0,[],,0,[],
43,#【强烈推荐】11岁男孩的精彩演讲：我们要么付钱给农民，要么付钱给医院#当我把演讲稿读给家里小朋友听的时候，不时会收到反馈。插话问我奶奶家的梨，姥姥家的鸡，在她的认知里，这些可都是好东西；还跟我谈论起了有机概念和可追溯验证条码。。。很开心她能听的进去。 我分享了【强烈推荐】11岁男孩的精彩演讲：我们要么付钱给农民，要么付钱给医院 ​​​,2014-5-16,0,[],0,[],,0,[],
44,【五一假期开集通知】1号10-14点，@华润凤凰汇 凤凰商街，@集室 门口有大福煎饼驴火豆腐脑。2号10-13点，祈年大街@北京时尚新世界女子百货 地下一层。3号11-16点，酒仙桥@颐堤港indigo 地下一层，有丰富的儿童活动。春暖花开，鸡蛋多了青菜丰富，多家农场也有开放活动。详情参见：【五一开集通知】5-1@华润凤凰汇 凤凰商街，5-2@北京时尚新世界女子百货 ，5-3酒仙桥@颐堤港indigo ​​​,2014-4-29,0,[],0,[],,0,[],
45,春暖花开 ​​​,2014-4-7,4,"['2267172325', '1645964357', '1795546013', '1796221353']",6,"['3722002191', '1026761082']",:转发微博 $:[爱你] ,8,"['1746600977', '231124120', '1910056465', '231124120', '1910056465']",希望外地的也可以吃到$:应该会有的，呵呵。$:好的 北京有机集市到时有吗$:您好！我们的梨上市时，会和朋友们通报购买渠道的。目前，外地暂时没有销售了。谢谢您的支持！$只能去集市买吗?
46,喜欢面食胜过米饭的小朋友真是难为死她的南方妈了[怒]第一次做糊塌子，实在太丑了，不过居然没放盐味道也很好。感谢@沃翠源 面粉 @悠然社 西葫芦@乐活村-乐活先生 鸡蛋拯救了一个南方人糟糕的厨艺[泪]油煎三文鱼，餐后水果是@良心梨，从APP现查做法到摆盘20分钟。。。。。。超时了。。 ​​​,2014-4-4,0,[],0,[],,0,[],
47,#集室实时菜况#@三分地有机农场 师傅将新鲜蔬菜、草莓送到啦。雨衣甘蓝，生菜，小油菜，韭菜，小白菜，乌塌菜，芹菜，茴香。。。师傅说天都没亮就出来了，路上特别堵。特意挑了些@良心梨 送给师傅。好天气，来集室买菜吧！！顺便自己榨一杯@良心梨 梨汁。 我在这里:北京·集室 ​​​,2014-4-4,0,[],0,[],,0,[],
